Category: All categories

Region,i do not consent: (1/1/21 - 6/23/21)
California,100
Florida,69
Texas,53
Maine,
Oklahoma,
Maryland,
South Carolina,
Michigan,
Minnesota,
Wisconsin,
Indiana,
Ohio,
Illinois,
New York,
New Jersey,
Georgia,
Pennsylvania,
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Virginia,
Vermont,
Washington,
West Virginia,
Wyoming,
