Category: All categories

Region,is the vaccine safe: (1/1/21 - 6/23/21)
Rhode Island,100
Connecticut,97
Wyoming,86
Maine,84
Montana,80
West Virginia,77
Oregon,72
Iowa,72
Pennsylvania,69
District of Columbia,68
Nevada,68
Oklahoma,68
New Jersey,66
New York,63
Arizona,63
Virginia,62
Michigan,62
Illinois,61
Indiana,61
Massachusetts,60
Kentucky,59
South Carolina,58
Idaho,58
Utah,58
Washington,58
Maryland,58
California,58
Ohio,57
Minnesota,55
Delaware,55
Arkansas,54
North Carolina,53
Tennessee,52
Colorado,52
Wisconsin,52
Alabama,51
New Hampshire,51
Georgia,51
Texas,51
Florida,50
Alaska,45
Hawaii,42
Vermont,41
Kansas,40
Louisiana,38
Missouri,37
Nebraska,37
New Mexico,36
North Dakota,35
South Dakota,33
Mississippi,31
