Category: All categories

Region,covid hoax: (1/1/21 - 6/23/21)
Delaware,100
Alaska,94
North Dakota,74
New Hampshire,72
Washington,62
Montana,56
Minnesota,52
Ohio,48
Oregon,46
Massachusetts,44
Arizona,41
Maine,41
Colorado,39
Hawaii,38
Texas,38
Florida,38
Louisiana,38
Connecticut,36
Iowa,35
Georgia,35
North Carolina,35
Idaho,33
Michigan,31
South Carolina,31
Utah,31
California,30
Pennsylvania,29
Tennessee,29
Nebraska,26
New Jersey,24
Indiana,24
Alabama,22
Mississippi,22
New York,21
Kansas,20
Missouri,17
Oklahoma,15
Nevada,15
Illinois,14
Kentucky,13
Virginia,10
Wisconsin,9
Maryland,7
Arkansas,
District of Columbia,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
