Category: All categories

Region,RNA vaccine: (1/1/21 - 6/23/21)
Hawaii,100
Maine,84
Alaska,84
Rhode Island,84
Idaho,81
South Dakota,77
New Jersey,75
Oregon,70
Washington,70
New Hampshire,69
Connecticut,67
Vermont,65
Massachusetts,63
Pennsylvania,62
Delaware,62
Maryland,62
Colorado,60
California,60
Wyoming,60
Michigan,58
New Mexico,56
West Virginia,55
Illinois,54
Montana,54
Ohio,54
Utah,54
Minnesota,53
New York,51
Virginia,47
Kansas,47
Arizona,46
Wisconsin,46
North Carolina,43
Tennessee,43
Florida,42
District of Columbia,41
Nevada,41
Arkansas,40
Kentucky,39
Iowa,38
Texas,38
Indiana,38
Alabama,38
Georgia,38
South Carolina,36
Missouri,36
North Dakota,35
Nebraska,35
Oklahoma,35
Louisiana,32
Mississippi,11
